State,#,(,),*,+,",",-,/,;,=,[,],d,else,f,float,for,i,if,input,int,print,r,return,void,while,{,},∧,∨,A,A',B,D,D',E,P,R,R',S,S',T
0,,,,,,,,,,,,,r42,,,r42,r42,,r42,r42,r42,r42,,r42,r42,r42,r42,,,,,,,,2,,1,,,,,
1,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,s10,,,s8,s16,,s11,s15,s4,s17,,s14,s6,s13,s12,,,,,,,7,,,,,,3,5,9
3,r44,,,,,,,,r44,,,,,,,,,,,,,,,,,,,r44,,,,,,,,,,,,,,
4,,,,,,,,,,,,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,r46,,,,,,,,s33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,s30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,s24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,s26,,,,,,,,s28,s27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,s31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,s10,,,,s16,,s11,s15,,s17,,s14,,s13,s12,,,,,,,,,,,,,3,34,
13,,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,s19,,,,,,,,,,,s22,,s20,,,s21,,,,,,,,,,,,,,,,,,25,,,,,,
15,,,,,,,,,,,,,s29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,s32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,s19,,,,,,,,,,,s22,,s20,,,s21,,,,,,,,,,,,,,,,,,18,,,,,,
18,r38,,r38,s44,s45,,s43,s42,r38,,,,,r38,,,,,,,,,,,,,,r38,,,,,,,,,,,,,,
19,,s19,,,,,,,,,,,s22,,s20,,,s21,,,,,,,,,,,,,,,,,,46,,,,,,
20,r5,,r5,r5,r5,r5,r5,r5,r5,,,r5,,r5,,,,,,,,,r5,,,,,r5,r5,r5,,,,,,,,,,,,
21,r4,,r4,r4,r4,r4,r4,r4,r4,,,r4,,r4,,,,,,,,,r4,,,,,r4,r4,r4,,,,,,,,,,,,
22,r6,s47,r6,r6,r6,r6,r6,r6,r6,s49,s48,r6,,r6,,,,,,,,,r6,,,,,r6,r6,r6,,,,,,,,,,,,
23,,s19,,,,,,,,,,,s22,,s20,,,s21,,,,,,,,,,,,,,,40,,,36,,,,,,
24,,s51,,,,,,,r28,,s52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,r36,,r36,s44,s45,,s43,s42,r36,,,,,r36,,,,,,,,,,,,,,r36,,,,,,,,,,,,,,
26,,r14,r14,,,,,,,,,,r14,,r14,,,r14,,,,,,,,,,,,,,,,,,,,,53,,,
27,,s19,,,,,,,,,,,s22,,s20,,,s21,,,,,,,,,,,,,,,,,,37,,,,,,
28,,s19,,,,,,,,,,,s22,,s20,,,s21,,,,,,,,,,,,,,,,,,39,,,,,,
29,r39,,r39,,,,,,r39,,,,,r39,,,,,,,,,,,,,,r39,,,,,,,,,,,,,,
30,,,,,,,,,,,,,r43,,,r43,r43,,r43,r43,r43,r43,,r43,r43,r43,r43,,,,,,,,,,,,,,,
31,,s19,,,,,,,,,,,s22,,s20,,,s21,,,,,,,,,,,,,,,35,,,36,,,,,,
32,,,,,,,,,,,,,s10,,,,s16,,s11,s15,,s17,,s14,,s13,s12,,,,,,,,,,,,,38,,
33,,,,,,,,,,,,,s10,,,,s16,,s11,s15,,s17,,s14,,s13,s12,,,,,,,,,,,,,50,,
34,,,,,,,,,s33,,,,,,,,,,,,,,,,,,,s41,,,,,,,,,,,,,,
35,,,s74,,,,,,,,,,,,,,,,,,,,,,,,,,s65,s64,,,,,,,,,,,,
36,,,r21,s44,s45,,s43,s42,r21,,,,,,,,,,,,,,s68,,,,,,r21,r21,,,,,,,,,,,,
37,,,,s44,s45,,s43,s42,,,,s67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,s66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,r31,,r31,s44,s45,,s43,s42,r31,,,,,r31,,,,,,,,,,,,,,r31,,,,,,,,,,,,,,
40,,,s63,,,,,,,,,,,,,,,,,,,,,,,,,,s65,s64,,,,,,,,,,,,
41,r40,,r40,,,,,,r40,,,,,r40,,,,,,,,,,,,,,r40,,,,,,,,,,,,,,
42,,s19,,,,,,,,,,,s22,,s20,,,s21,,,,,,,,,,,,,,,,,,62,,,,,,
43,,s19,,,,,,,,,,,s22,,s20,,,s21,,,,,,,,,,,,,,,,,,72,,,,,,
44,,s19,,,,,,,,,,,s22,,s20,,,s21,,,,,,,,,,,,,,,,,,73,,,,,,
45,,s19,,,,,,,,,,,s22,,s20,,,s21,,,,,,,,,,,,,,,,,,69,,,,,,
46,,,s71,s44,s45,,s43,s42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,r14,r14,,,,,,,,,,r14,,r14,,,r14,,,,,,,,,,,,,,,,,,,,,70,,,
48,,s19,,,,,,,,,,,s22,,s20,,,s21,,,,,,,,,,,,,,,,,,61,,,,,,
49,,s19,,,,,,,,,,,s22,,s20,,,s21,,,,,,,,,,,,,,,,,,60,,,,,,
50,r45,,,,,,,,r45,,,,,,,,,,,,,,,,,,,r45,,,,,,,,,,,,,,
51,,,r16,,,,,,,,,,,,,r16,,,,,r16,,,,r16,,,,,,,58,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,s59,,,,,,,,,,,,,,,,,,,,,,,,
53,,s19,s54,,,,,,,,,,s57,,s20,,,s21,,,,,,,,,,,,,,,,,,56,,55,,,,
54,r41,,r41,,,,,,r41,,,,,r41,,,,,,,,,,,,,,r41,,,,,,,,,,,,,,
55,,,,,,s90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,s44,s45,r0,s43,s42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,r6,s82,r6,r6,r6,r6,r6,r6,r6,s49,s83,r6,,r6,,,,,,,,,r6,,,,,r6,r6,r6,,,,,,,,,,,,
58,,,s85,,,,,,,,,,,,,s8,,,,,s4,,,,s6,,,,,,87,,,,,,,,,,,86
59,,,,,,,,,,,,s80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,r3,,r3,s44,s45,r3,s43,s42,r3,,,r3,,r3,,,,,,,,,r3,,,,,r3,r3,r3,,,,,,,,,,,,
61,,,,s44,s45,,s43,s42,,,,s79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,r12,,r12,r12,r12,r12,r12,r12,r12,,,r12,,r12,,,,,,,,,r12,,,,,r12,r12,r12,,,,,,,,,,,,
63,,,,,,,,,,,,,s10,,,,s16,,s11,s15,,s17,,s14,,s13,s12,,,,,,,,,,,,,88,,
64,,s19,,,,,,,,,,,s22,,s20,,,s21,,,,,,,,,,,,,,,78,,,36,,,,,,
65,,s19,,,,,,,,,,,s22,,s20,,,s21,,,,,,,,,,,,,,,84,,,36,,,,,,
66,,s19,,,,,,,,,,,s22,,s20,,,s21,,,,,,,,,,,,,,,89,,,36,,,,,,
67,,,,,,,,,,s77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,s19,,,,,,,,,,,s22,,s20,,,s21,,,,,,,,,,,,,,,,,,76,,,,,,
69,r9,,r9,s44,r9,r9,r9,s42,r9,,,r9,,r9,,,,,,,,,r9,,,,,r9,r9,r9,,,,,,,,,,,,
70,,s19,s75,,,,,,,,,,s57,,s20,,,s21,,,,,,,,,,,,,,,,,,56,,55,,,,
71,r13,,r13,r13,r13,r13,r13,r13,r13,,,r13,,r13,,,,,,,,,r13,,,,,r13,r13,r13,,,,,,,,,,,,
72,r10,,r10,s44,r10,r10,r10,s42,r10,,,r10,,r10,,,,,,,,,r10,,,,,r10,r10,r10,,,,,,,,,,,,
73,r11,,r11,r11,r11,r11,r11,r11,r11,,,r11,,r11,,,,,,,,,r11,,,,,r11,r11,r11,,,,,,,,,,,,
74,,,,,,,,,,,,,s10,,,,s16,,s11,s15,,s17,,s14,,s13,s12,,,,,,,,,,,,,81,,
75,r8,,r8,r8,r8,r8,r8,r8,r8,,,r8,,r8,,,,,,,,,r8,,,,,r8,r8,r8,,,,,,,,,,,,
76,,,r20,s44,s45,,s43,s42,r20,,,,,,,,,,,,,,,,,,,,r20,r20,,,,,,,,,,,,
77,,s19,,,,,,,,,,,s22,,s20,,,s21,,,,,,,,,,,,,,,,,,95,,,,,,
78,,,r19,,,,,,r19,,,,,,,,,,,,,,,,,,,,s65,r19,,,,,,,,,,,,
79,r7,,r7,r7,r7,r7,r7,r7,r7,,,r7,,r7,,,,,,,,,r7,,,,,r7,r7,r7,,,,,,,,,,,,
80,,,,,,,,,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,r33,,r33,,,,,,r33,,,,,s94,,,,,,,,,,,,,,r33,,,,,,,,,,,,,,
82,,r14,s97,,,,,,,,,,r14,,r14,,,r14,,,,,,,,,,,,,,,,,,,,,70,,,
83,,s19,,,,,,,,,,s93,s22,,s20,,,s21,,,,,,,,,,,,,,,,,,61,,,,,,
84,,,r18,,,,,,r18,,,,,,,,,,,,,,,,,,,,r18,r18,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,s96,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,s98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,s92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,r35,,r35,,,,,,r35,,,,,r35,,,,,,,,,,,,,,r35,,,,,,,,,,,,,,
89,,,,,,,,,s91,,,,,,,,,,,,,,,,,,,,s65,s64,,,,,,,,,,,,
90,,r15,r15,,,,,,,,,,r15,,r15,,,r15,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,s10,,,,s16,,s11,s15,,s17,,s14,,s13,s12,,,,,,,,,,,,,100,,
92,,,r17,,,,,,,,,,,,,r17,,,,,r17,,,,r17,,,,,,,,,,,,,,,,,
93,,,,,,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,s10,,,,s16,,s11,s15,,s17,,s14,,s13,s12,,,,,,,,,,,,,103,,
95,r32,,r32,s44,s45,,s43,s42,r32,,,,,r32,,,,,,,,,,,,,,r32,,,,,,,,,,,,,,
96,,,,,,,,,,,,,r42,,,r42,r42,,r42,r42,r42,r42,,r42,r42,r42,r42,,,,,,,,99,,,,,,,
97,,,,,,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,s101,,,,,,,r25,,s102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,s10,,,s8,s16,,s11,s15,s4,s17,,s14,s6,s13,s12,,,,,,,7,,,,,,3,104,9
100,,,s107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,s106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,s105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,r34,,r34,,,,,,r34,,,,,r34,,,,,,,,,,,,,,r34,,,,,,,,,,,,,,
104,,,,,,,,,s33,,,,,,,,,,,,,,,,,,,s108,,,,,,,,,,,,,,
105,,,,,,,,,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,s10,,,,s16,,s11,s15,,s17,,s14,,s13,s12,,,,,,,,,,,,,109,,
108,,,,,,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,r37,,r37,,,,,,r37,,,,,r37,,,,,,,,,,,,,,r37,,,,,,,,,,,,,,
