State,#,(,),*,+,",",;,=,[,],d,else,i,if,int,r,return,void,while,{,},∧,∨,A,A',B,D,D',E,P,R,R',S,S',T
0,,,,,,,,,,,r33,,,r33,r33,,r33,r33,r33,r33,,,,,,,,2,,1,,,,,
1,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,s9,,,s8,s13,,s5,s12,s6,s7,,,,,,,11,,,,,,4,3,10
3,r37,,,,,,s17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,r35,,,,,,r35,,,,,,,,,,,,,,r35,,,,,,,,,,,,,,
5,,s21,,,,,,,,,s24,,s23,,,,,,,,,,,,,,,,22,,,,,,
6,,s25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,s9,,,s8,,,s5,,s6,s7,,,,,,,,,,,,,4,19,
8,,s18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,s14,,,,,,s15,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,s16,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,s20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,r19,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,r18,,,,,,,,,,,,,,,,,,,,,,,,
14,,r10,r10,,,,,,,,r10,,r10,,,,,,,,,,,,,,,,,,,36,,,
15,,s21,,,,,,,,,s24,,s23,,,,,,,,,,,,,,,,37,,,,,,
16,,s38,,,,,r23,,s39,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,s9,,,s8,,,s5,,s6,s7,,,,,,,,,,,,,35,,
18,,s21,,,,,,,,,s24,,s23,,,,,,,,,,,,,34,,,27,,,,,,
19,,,,,,,s17,,,,,,,,,,,,,,s33,,,,,,,,,,,,,,
20,,,,,,,,,,,r34,,,r34,r34,,r34,r34,r34,r34,,,,,,,,,,,,,,,
21,,s21,,,,,,,,,s24,,s23,,,,,,,,,,,,,,,,32,,,,,,
22,r30,,,s30,s31,,r30,,,,,r30,,,,,,,,,r30,,,,,,,,,,,,,,
23,r4,,r4,r4,r4,r4,r4,,,,,r4,,,,r4,,,,,r4,r4,r4,,,,,,,,,,,,
24,r5,s28,r5,r5,r5,r5,r5,s29,,,,r5,,,,r5,,,,,r5,r5,r5,,,,,,,,,,,,
25,,s21,,,,,,,,,s24,,s23,,,,,,,,,,,,,26,,,27,,,,,,
26,,,s55,,,,,,,,,,,,,,,,,,,s54,s53,,,,,,,,,,,,
27,,,r17,s30,s31,,,,,,,,,,,s49,,,,,,r17,r17,,,,,,,,,,,,
28,,r10,r10,,,,,,,,r10,,r10,,,,,,,,,,,,,,,,,,,51,,,
29,,s21,,,,,,,,,s24,,s23,,,,,,,,,,,,,,,,48,,,,,,
30,,s21,,,,,,,,,s24,,s23,,,,,,,,,,,,,,,,47,,,,,,
31,,s21,,,,,,,,,s24,,s23,,,,,,,,,,,,,,,,46,,,,,,
32,,,s50,s30,s31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,r31,,,,,,r31,,,,,r31,,,,,,,,,r31,,,,,,,,,,,,,,
34,,,s52,,,,,,,,,,,,,,,,,,,s54,s53,,,,,,,,,,,,
35,r36,,,,,,r36,,,,,,,,,,,,,,r36,,,,,,,,,,,,,,
36,,s21,s42,,,,,,,,s45,,s23,,,,,,,,,,,,,,,,44,,43,,,,
37,r26,,,s30,s31,,r26,,,,,r26,,,,,,,,,r26,,,,,,,,,,,,,,
38,,,r12,,,,,,,,,,,,r12,,,r12,,,,,,,41,,,,,,,,,,
39,,,,,,,,,,,,,s40,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,s64,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,s61,,,,,,,,,,,,s13,,,s12,,,,,,63,,,,,,,,,,,62
42,r32,,,,,,r32,,,,,r32,,,,,,,,,r32,,,,,,,,,,,,,,
43,,,,,,s67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,s30,s31,r0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,r5,s66,r5,r5,r5,r5,r5,s29,s65,,,r5,,,,r5,,,,,r5,r5,r5,,,,,,,,,,,,
46,r7,,r7,s30,s31,r7,r7,,,,,r7,,,,r7,,,,,r7,r7,r7,,,,,,,,,,,,
47,r8,,r8,s30,s31,r8,r8,,,,,r8,,,,r8,,,,,r8,r8,r8,,,,,,,,,,,,
48,r3,,r3,s30,s31,r3,r3,,,,,r3,,,,r3,,,,,r3,r3,r3,,,,,,,,,,,,
49,,s21,,,,,,,,,s24,,s23,,,,,,,,,,,,,,,,60,,,,,,
50,r9,,r9,r9,r9,r9,r9,,,,,r9,,,,r9,,,,,r9,r9,r9,,,,,,,,,,,,
51,,s21,s58,,,,,,,,s45,,s23,,,,,,,,,,,,,,,,44,,43,,,,
52,,,,,,,,,,,s9,,,s8,,,s5,,s6,s7,,,,,,,,,,,,,59,,
53,,s21,,,,,,,,,s24,,s23,,,,,,,,,,,,,57,,,27,,,,,,
54,,s21,,,,,,,,,s24,,s23,,,,,,,,,,,,,68,,,27,,,,,,
55,,,,,,,,,,,s9,,,s8,,,s5,,s6,s7,,,,,,,,,,,,,56,,
56,r29,,,,,,r29,,,,,r29,,,,,,,,,r29,,,,,,,,,,,,,,
57,,,r15,,,,,,,,,,,,,,,,,,,s54/r15,s53/r15,,,,,,,,,,,,
58,r6,,r6,r6,r6,r6,r6,,,,,r6,,,,r6,,,,,r6,r6,r6,,,,,,,,,,,,
59,r27,,,,,,r27,,,,,s71/r27,,,,,,,,,r27,,,,,,,,,,,,,,
60,,,r16,s30,s31,,,,,,,,,,,,,,,,,r16,r16,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,s70,,,,,,,,,,,,,,,
62,,,,,,,,,,,s69,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,s73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,s72,,,,,,,,,,,,,,,,,,,,,,,,,
66,,r10,s74/r10,,,,,,,,r10,,r10,,,,,,,,,,,,,,,,,,,51,,,
67,,r11,r11,,,,,,,,r11,,r11,,,,,,,,,,,,,,,,,,,,,,
68,,,r14,,,,,,,,,,,,,,,,,,,s54/r14,s53/r14,,,,,,,,,,,,
69,,s77,,,,,r20,,s78,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,r33,,,r33,r33,,r33,r33,r33,r33,,,,,,,,76,,,,,,,
71,,,,,,,,,,,s9,,,s8,,,s5,,s6,s7,,,,,,,,,,,,,75,,
72,,,,,,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,r13,,,,,,,,,,,,r13,,,r13,,,,,,,,,,,,,,,,,
74,,,,,,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,r28,,,,,,r28,,,,,r28,,,,,,,,,r28,,,,,,,,,,,,,,
76,,,,,,,,,,,s9,,,s8,s13,,s5,s12,s6,s7,,,,,,,11,,,,,,4,81,10
77,,,s80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,s79,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,s17,,,,,,,,,,,,,,s82,,,,,,,,,,,,,,
82,,,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
